clip,frame,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,Blendshape_0,Blendshape_1,Blendshape_2,Blendshape_3,Blendshape_4,Blendshape_5,Blendshape_6,Blendshape_7,Blendshape_8,Blendshape_9,Blendshape_10,Blendshape_11,Blendshape_12,Blendshape_13,Blendshape_14,Blendshape_15,Blendshape_16,Blendshape_17,Blendshape_18,Blendshape_19,Blendshape_20,Blendshape_21,Blendshape_22,Blendshape_23,Blendshape_24,Blendshape_25,Blendshape_26,Blendshape_27,Blendshape_28,Blendshape_29,Blendshape_30,Blendshape_31,Blendshape_32,Blendshape_33,Blendshape_34,Blendshape_35,Blendshape_36,Blendshape_37,Blendshape_38,Blendshape_39,Blendshape_40,Blendshape_41,Blendshape_42,Blendshape_43,Blendshape_44,Blendshape_45,Blendshape_46,Blendshape_47,Blendshape_48,Blendshape_49,Blendshape_50,Blendshape_51,Blendshape_52,Blendshape_53,Blendshape_54,Blendshape_55,Blendshape_56,Blendshape_57,Blendshape_58,Blendshape_59,Blendshape_60,Blendshape_61,Blendshape_62,Blendshape_63,Blendshape_64,Blendshape_65,Blendshape_66,Blendshape_67
0,0,-0.05586094,-0.07450373,-0.03025873,0.9951951,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,84,69,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
0,1,-0.05485214,-0.06915907,-0.02633838,0.9957482,0,0,0,0,8.4,0,0.6666667,0,0,0,12.13333,0,0,0,0,0.1333333,0,0,0,0,0,0,0,1.066667,0,0,0,0,0,0,6.533334,13.06667,0,0,78.4,64.4,0,0,60.66667,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,3.066667,0,0,0,0,0,0,0,50.4,0,0,0,0,0,0
0,2,-0.05380353,-0.06381991,-0.02242836,0.9962575,0,0,0,0,7.8,0,1.333333,0,0,0,11.26667,0,0,0,0,0.2666667,0,0,0,0,0,0,0,2.133333,0,0,0,0,0,0,13.06667,12.13333,0,0,72.8,59.8,0,0,56.33333,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,6.133334,0,0,0,0,0,0,0,46.8,0,0,0,0,0,0
0,3,-0.05271524,-0.05848637,-0.01852901,0.9967232,0,0,0,0,7.2,0,2,0,0,0,10.4,0,0,0,0,0.4,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,19.6,11.2,0,0,67.2,55.2,0,0,52,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,9.2,0,0,0,0,0,0,0,43.2,0,0,0,0,0,0
0,4,-0.0515874,-0.05315901,-0.01464073,0.9971452,0,0,0,0,6.6,0,2.666667,0,0,0,9.533333,0,0,0,0,0.5333334,0,0,0,0,0,0,0,4.266667,0,0,0,0,0,0,26.13334,10.26667,0,0,61.6,50.6,0,0,47.66666,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,12.26667,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0
0,5,-0.05042014,-0.04783818,-0.01076389,0.9975236,0,0,0,0,6,0,3.333333,0,0,0,8.666667,0,0,0,0,0.6666667,0,0,0,0,0,0,0,5.333333,0,0,0,0,0,0,32.66667,9.333333,0,0,56,46,0,0,43.33333,0,0,0,0,0,0,0,0,0,12,0,0,0,0,15.33333,0,0,0,0,0,0,0,36,0,0,0,0,0,0
0,6,-0.04921361,-0.04252443,-0.006898886,0.9978588,0,0,0,0,5.4,0,4,0,0,0,7.8,0,0,0,0,0.8,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,39.2,8.4,0,0,50.4,41.4,0,0,39,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0,18.4,0,0,0,0,0,0,0,32.4,0,0,0,0,0,0
0,7,-0.04796793,-0.03721786,-0.003046063,0.9981506,0,0,0,0,4.8,0,4.666667,0,0,0,6.933333,0,0,0,0,0.9333333,0,0,0,0,0,0,0,7.466667,0,0,0,0,0,0,45.73333,7.466667,0,0,44.8,36.8,0,0,34.66667,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,21.46667,0,0,0,0,0,0,0,28.8,0,0,0,0,0,0
0,8,-0.04668354,-0.03191899,0.000794188,0.9983993,0,0,0,0,4.2,0,5.333333,0,0,0,6.066666,0,0,0,0,1.066667,0,0,0,0,0,0,0,8.533334,0,0,0,0,0,0,52.26667,6.533333,0,0,39.2,32.2,0,0,30.33333,0,0,0,0,0,0,0,0,0,19.2,0,0,0,0,24.53333,0,0,0,0,0,0,0,25.2,0,0,0,0,0,0
0,9,-0.04536004,-0.02662821,0.004621513,0.998605,0,0,0,0,3.6,0,6,0,0,0,5.2,0,0,0,0,1.2,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,58.8,5.599999,0,0,33.6,27.6,0,0,26,0,0,0,0,0,0,0,0,0,21.6,0,0,0,0,27.6,0,0,0,0,0,0,0,21.6,0,0,0,0,0,0
0,10,-0.04399785,-0.02134603,0.008435527,0.9987679,0,0,0,0,3,0,6.666667,0,0,0,4.333333,0,0,0,0,1.333333,0,0,0,0,0,0,0,10.66667,0,0,0,0,0,0,65.33334,4.666667,0,0,28,23,0,0,21.66667,0,0,0,0,0,0,0,0,0,24,0,0,0,0,30.66667,0,0,0,0,0,0,0,18,0,0,0,0,0,0
0,11,-0.04259713,-0.01607256,0.01223588,0.9988881,0,0,0,0,2.4,0,7.333333,0,0,0,3.466666,0,0,0,0,1.466667,0,0,0,0,0,0,0,11.73333,0,0,0,0,0,0,71.86667,3.733333,0,0,22.4,18.4,0,0,17.33333,0,0,0,0,0,0,0,0,0,26.4,0,0,0,0,33.73333,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0
0,12,-0.04115803,-0.01080832,0.01602219,0.9989657,0,0,0,0,1.8,0,8,0,0,0,2.6,0,0,0,0,1.6,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,78.4,2.8,0,0,16.8,13.8,0,0,13,0,0,0,0,0,0,0,0,0,28.8,0,0,0,0,36.8,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0
0,13,-0.03968072,-0.005553682,0.01979411,0.9990009,0,0,0,0,1.2,0,8.666667,0,0,0,1.733333,0,0,0,0,1.733333,0,0,0,0,0,0,0,13.86667,0,0,0,0,0,0,84.93333,1.866667,0,0,11.2,9.2,0,0,8.666666,0,0,0,0,0,0,0,0,0,31.2,0,0,0,0,39.86667,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0
0,14,-0.03816536,-0.000309148,0.02355126,0.9989938,0,0,0,0,0.6,0,9.333333,0,0,0,0.8666666,0,0,0,0,1.866667,0,0,0,0,0,0,0,14.93333,0,0,0,0,0,0,91.46667,0.9333333,0,0,5.599999,4.6,0,0,4.333333,0,0,0,0,0,0,0,0,0,33.6,0,0,0,0,42.93333,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0
1,0,0.01765586,0.0536787,0.03346115,0.9978412,0,0,0,38,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,60,91,0
1,1,0.01909448,0.04838343,0.02567207,0.9983162,0,0,0,35.46667,0,0,0,0,0,0,0,0,0,0,96.2,0,0,0,0,0,0,0,0,0,4.533334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2,0.2666667,6.466667,0,0,77.46667,0,0.06666667,0,0,0,0,5.733334,0,0,6.6,0,0,50.4,0,0,56,84.93333,0
1,2,0.0206171,0.04311281,0.01789853,0.998697,0,0,0,32.93333,0,0,0,0,0,0,0,0,0,0,96.4,0,0,0,0,0,0,0,0,0,9.066668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.4,0.5333334,12.93333,0,0,71.93333,0,0.1333333,0,0,0,0,11.46667,0,0,13.2,0,0,46.8,0,0,52,78.86667,0
1,3,0.02222351,0.03786834,0.01014179,0.9989841,0,0,0,30.4,0,0,0,0,0,0,0,0,0,0,96.6,0,0,0,0,0,0,0,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,0.8,19.4,0,0,66.4,0,0.2,0,0,0,0,17.2,0,0,19.8,0,0,43.2,0,0,48,72.8,0
1,4,0.02391269,0.03265108,0.00240311,0.9991779,0,0,0,27.86667,0,0,0,0,0,0,0,0,0,0,96.8,0,0,0,0,0,0,0,0,0,18.13334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8,1.066667,25.86667,0,0,60.86666,0,0.2666667,0,0,0,0,22.93333,0,0,26.4,0,0,39.6,0,0,44,66.73333,0
1,5,0.02568439,0.02746224,-0.005316272,0.9992786,0,0,0,25.33333,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,22.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1.333333,32.33334,0,0,55.33333,0,0.3333333,0,0,0,0,28.66667,0,0,33,0,0,36,0,0,40,60.66666,0
1,6,0.02753811,0.02230286,-0.01301512,0.9992872,0,0,0,22.8,0,0,0,0,0,0,0,0,0,0,97.2,0,0,0,0,0,0,0,0,0,27.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2,1.6,38.8,0,0,49.8,0,0.4,0,0,0,0,34.4,0,0,39.6,0,0,32.4,0,0,36,54.6,0
1,7,0.02947329,0.01717439,-0.02069223,0.9992037,0,0,0,20.26667,0,0,0,0,0,0,0,0,0,0,97.4,0,0,0,0,0,0,0,0,0,31.73333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,1.866667,45.26667,0,0,44.26667,0,0.4666667,0,0,0,0,40.13334,0,0,46.2,0,0,28.8,0,0,32,48.53333,0
1,8,0.03148964,0.01207787,-0.02834638,0.9990291,0,0,0,17.73333,0,0,0,0,0,0,0,0,0,0,97.6,0,0,0,0,0,0,0,0,0,36.26667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,2.133333,51.73334,0,0,38.73333,0,0.5333334,0,0,0,0,45.86667,0,0,52.8,0,0,25.2,0,0,28,42.46666,0
1,9,0.03358607,0.007014441,-0.03597635,0.9987635,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,97.8,0,0,0,0,0,0,0,0,0,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8,2.4,58.2,0,0,33.2,0,0.6,0,0,0,0,51.6,0,0,59.4,0,0,21.6,0,0,24,36.4,0
1,10,0.03576225,0.001985132,-0.04358095,0.9984076,0,0,0,12.66667,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,45.33334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.666667,64.66667,0,0,27.66666,0,0.6666667,0,0,0,0,57.33334,0,0,66,0,0,18,0,0,20,30.33333,0
1,11,0.03801755,-0.003008656,-0.05115901,0.9979621,0,0,0,10.13333,0,0,0,0,0,0,0,0,0,0,98.2,0,0,0,0,0,0,0,0,0,49.86667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,2.933333,71.13333,0,0,22.13333,0,0.7333333,0,0,0,0,63.06667,0,0,72.6,0,0,14.4,0,0,16,24.26666,0
1,12,0.04035138,-0.007965929,-0.05870936,0.9974275,0,0,0,7.599999,0,0,0,0,0,0,0,0,0,0,98.4,0,0,0,0,0,0,0,0,0,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,3.2,77.6,0,0,16.6,0,0.8,0,0,0,0,68.8,0,0,79.2,0,0,10.8,0,0,12,18.2,0
1,13,0.04276335,-0.01288555,-0.06623081,0.9968043,0,0,0,5.066667,0,0,0,0,0,0,0,0,0,0,98.6,0,0,0,0,0,0,0,0,0,58.93333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.599999,3.466667,84.06667,0,0,11.06667,0,0.8666667,0,0,0,0,74.53333,0,0,85.8,0,0,7.2,0,0,8,12.13333,0
1,14,0.04525229,-0.01776659,-0.07372223,0.9960932,0,0,0,2.533333,0,0,0,0,0,0,0,0,0,0,98.8,0,0,0,0,0,0,0,0,0,63.46667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,3.733333,90.53333,0,0,5.533333,0,0.9333333,0,0,0,0,80.26667,0,0,92.4,0,0,3.6,0,0,4,6.066666,0
2,0,-0.006627573,-0.04616619,0.05130863,0.9975931,0,11,0,91,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0
