clip,frame,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w,Blendshape_0,Blendshape_1,Blendshape_2,Blendshape_3,Blendshape_4,Blendshape_5,Blendshape_6,Blendshape_7,Blendshape_8,Blendshape_9,Blendshape_10,Blendshape_11,Blendshape_12,Blendshape_13,Blendshape_14,Blendshape_15,Blendshape_16,Blendshape_17,Blendshape_18,Blendshape_19,Blendshape_20,Blendshape_21,Blendshape_22,Blendshape_23,Blendshape_24,Blendshape_25,Blendshape_26,Blendshape_27,Blendshape_28,Blendshape_29,Blendshape_30,Blendshape_31,Blendshape_32,Blendshape_33,Blendshape_34,Blendshape_35,Blendshape_36,Blendshape_37,Blendshape_38,Blendshape_39,Blendshape_40,Blendshape_41,Blendshape_42,Blendshape_43,Blendshape_44,Blendshape_45,Blendshape_46,Blendshape_47,Blendshape_48,Blendshape_49,Blendshape_50,Blendshape_51,Blendshape_52,Blendshape_53,Blendshape_54,Blendshape_55,Blendshape_56,Blendshape_57,Blendshape_58,Blendshape_59,Blendshape_60,Blendshape_61,Blendshape_62,Blendshape_63,Blendshape_64,Blendshape_65,Blendshape_66,Blendshape_67
0,0,0.02511965,0.01545089,0.02358501,0.9992868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,60,0,0,28,0,0,0,0,0,0,0,0,0,12,0,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0.02276219,0.01715894,0.02332055,0.9993215,0,0,0,0,0,4.666667,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,4.733334,0,0,0,4.066667,0,0,0,0,58.8,0,0,0,56,0,0,26.13333,2.8,0,0,0,0,0,0,0,0,11.2,0,0,0,36.53333,2.866667,0,0.9333333,0,0,0,0,0,0,0,0,0,0,0
0,2,0.02040351,0.01886563,0.02306375,0.9993477,0,0,0,0,0,9.333334,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,9.466667,0,0,0,8.133334,0,0,0,0,54.6,0,0,0,52,0,0,24.26667,5.6,0,0,0,0,0,0,0,0,10.4,0,0,0,40.06667,5.733334,0,0.8666667,0,0,0,0,0,0,0,0,0,0,0
0,3,0.01804417,0.02057118,0.0228146,0.9993652,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,14.2,0,0,0,12.2,0,0,0,0,50.4,0,0,0,48,0,0,22.4,8.400001,0,0,0,0,0,0,0,0,9.6,0,0,0,43.6,8.6,0,0.8,0,0,0,0,0,0,0,0,0,0,0
0,4,0.01568394,0.0222753,0.02257312,0.999374,0,0,0,0,0,18.66667,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,18.93333,0,0,0,16.26667,0,0,0,0,46.2,0,0,0,44,0,0,20.53333,11.2,0,0,0,0,0,0,0,0,8.8,0,0,0,47.13334,11.46667,0,0.7333333,0,0,0,0,0,0,0,0,0,0,0
0,5,0.01332285,0.02397823,0.02233932,0.9993741,0,0,0,0,0,23.33333,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,23.66667,0,0,0,20.33333,0,0,0,0,42,0,0,0,40,0,0,18.66667,14,0,0,0,0,0,0,0,0,8,0,0,0,50.66667,14.33333,0,0.6666666,0,0,0,0,0,0,0,0,0,0,0
0,6,0.01096066,0.02567966,0.02211322,0.9993655,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,28.4,0,0,0,24.4,0,0,0,0,37.8,0,0,0,36,0,0,16.8,16.8,0,0,0,0,0,0,0,0,7.2,0,0,0,54.2,17.2,0,0.6,0,0,0,0,0,0,0,0,0,0,0
0,7,0.00859795,0.02737982,0.02189479,0.9993483,0,0,0,0,0,32.66667,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,33.13334,0,0,0,28.46667,0,0,0,0,33.6,0,0,0,32,0,0,14.93333,19.6,0,0,0,0,0,0,0,0,6.4,0,0,0,57.73333,20.06667,0,0.5333333,0,0,0,0,0,0,0,0,0,0,0
0,8,0.006234474,0.02907841,0.02168406,0.9993225,0,0,0,0,0,37.33334,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0,37.86667,0,0,0,32.53334,0,0,0,0,29.4,0,0,0,28,0,0,13.06667,22.4,0,0,0,0,0,0,0,0,5.599999,0,0,0,61.26667,22.93333,0,0.4666666,0,0,0,0,0,0,0,0,0,0,0
0,9,0.003870273,0.03077567,0.02148103,0.999288,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,42.6,0,0,0,36.6,0,0,0,0,25.2,0,0,0,24,0,0,11.2,25.2,0,0,0,0,0,0,0,0,4.8,0,0,0,64.8,25.8,0,0.4,0,0,0,0,0,0,0,0,0,0,0
